layer,expert,metric,value,robust_z
1,339,top8_spectral_leverage,0.11047709136777345,23.53932130092168
1,676,top8_spectral_leverage,0.09066800198138955,19.050861889946596
1,499,top8_spectral_leverage,0.08844420876358884,18.546981807333562
1,857,top8_spectral_leverage,0.08811359690015605,18.472069836325698
1,299,top8_spectral_leverage,0.08685939101722888,18.18788452680843
1,163,top8_spectral_leverage,0.08672092237102777,18.15650949052869
1,784,top8_spectral_leverage,0.06749544386012307,13.80028804745296
1,644,top8_spectral_leverage,0.056997651705863656,11.421636860102872
1,105,top8_spectral_leverage,0.056115726517086545,11.221805089134968
1,365,top8_spectral_leverage,0.051315993647679914,10.134253523909418
1,562,top8_spectral_leverage,0.05088468276934207,10.036524580737394
1,479,top8_spectral_leverage,0.04807101567644675,9.398987423116324
1,141,top8_spectral_leverage,0.04321085006621182,8.297742653775687
1,80,top8_spectral_leverage,0.042187328319729336,8.0658271060325
1,82,nearest_cosine,0.7150890827178955,7.703882207686979
1,693,nearest_cosine,0.7150890827178955,7.703882207686979
1,832,top8_spectral_leverage,0.03998820170188439,7.567536126005082
1,143,top8_spectral_leverage,0.039841797161890555,7.534362928462921
1,21,top8_spectral_leverage,0.03689287674755255,6.866179281664397
1,462,top8_spectral_leverage,0.03678786407874917,6.84238489655318
1,445,top8_spectral_leverage,0.03483937899174243,6.40088574152733
1,246,top8_spectral_leverage,0.03430754301144923,6.28037923240516
1,299,nearest_cosine,0.6179033517837524,6.270802414918854
1,676,nearest_cosine,0.6179033517837524,6.270802414918854
1,339,nearest_cosine,0.5991771817207336,5.994670356690709
1,499,nearest_cosine,0.5991771817207336,5.994670356690709
1,857,nearest_cosine,0.5780766010284424,5.683525752280758
1,876,top8_spectral_leverage,0.031026299585076286,5.536895892533559
1,830,correction_bias,-0.08442370593547821,-5.342344630576507
1,333,correction_bias,-0.0805833637714386,-5.112731188636473
1,308,top8_spectral_leverage,0.028705502569789074,5.01103612174627
2,506,nearest_cosine,0.5355132818222046,6.56550754897531
2,797,nearest_cosine,0.5355132818222046,6.56550754897531
2,524,top8_spectral_leverage,0.038320264570449195,6.32449233385035
2,842,top8_spectral_leverage,0.034396648784062255,5.523755527269634
2,126,top8_spectral_leverage,0.03386024225210708,5.41428495807755
2,587,top8_spectral_leverage,0.03315913431429186,5.271201903630082
2,3,top8_spectral_leverage,0.03298635312467439,5.235940485197746
2,607,top8_spectral_leverage,0.03220146812682808,5.075760095239812
2,570,top8_spectral_leverage,0.03204475907710931,5.043778700815447
3,777,top8_spectral_leverage,0.055828699154759846,9.532171487643698
3,177,top8_spectral_leverage,0.05365255818995198,9.11244582129924
3,306,top8_spectral_leverage,0.050876539832915416,8.577018119907429
3,838,top8_spectral_leverage,0.05028276680641984,8.462493471351296
3,304,top8_spectral_leverage,0.046021198691137244,7.6405386688887535
3,68,top8_spectral_leverage,0.04476280890857138,7.397825306771999
3,698,top8_spectral_leverage,0.04410475453813546,7.270902320812544
3,713,top8_spectral_leverage,0.04330440795988678,7.116534563257098
3,45,top8_spectral_leverage,0.039115479799890954,6.308590274878445
