layer,router_norm_min,router_norm_p01,router_norm_p05,router_norm_median,router_norm_mean,router_norm_p95,router_norm_p99,router_norm_max,router_norm_std,router_norm_cv,pairwise_cosine_min,pairwise_cosine_p01,pairwise_cosine_p05,pairwise_cosine_median,pairwise_cosine_mean,pairwise_cosine_p95,pairwise_cosine_p99,pairwise_cosine_max,pairwise_cosine_std,nearest_cosine_min,nearest_cosine_p01,nearest_cosine_p05,nearest_cosine_median,nearest_cosine_mean,nearest_cosine_p95,nearest_cosine_p99,nearest_cosine_max,nearest_cosine_std,direction_centroid_norm,centered_spectral_effective_rank,centered_spectral_participation_rank,centered_spectral_top1_fraction,centered_spectral_top8_fraction,centered_spectral_top16_fraction,centered_spectral_top32_fraction,cosine_pairs_ge_0p3,cosine_pairs_ge_0p5,cosine_pairs_ge_0p7,cosine_pairs_ge_0p9,cluster_silhouette_k2,cluster_actual_count_k2,cluster_smallest_size_k2,cluster_largest_size_k2,cluster_singleton_count_k2,cluster_smallest_fraction_k2,cluster_smallest_to_equal_size_ratio_k2,cluster_silhouette_k4,cluster_actual_count_k4,cluster_smallest_size_k4,cluster_largest_size_k4,cluster_singleton_count_k4,cluster_smallest_fraction_k4,cluster_smallest_to_equal_size_ratio_k4,cluster_silhouette_k8,cluster_actual_count_k8,cluster_smallest_size_k8,cluster_largest_size_k8,cluster_singleton_count_k8,cluster_smallest_fraction_k8,cluster_smallest_to_equal_size_ratio_k8,cluster_silhouette_k16,cluster_actual_count_k16,cluster_smallest_size_k16,cluster_largest_size_k16,cluster_singleton_count_k16,cluster_smallest_fraction_k16,cluster_smallest_to_equal_size_ratio_k16,cluster_silhouette_k32,cluster_actual_count_k32,cluster_smallest_size_k32,cluster_largest_size_k32,cluster_singleton_count_k32,cluster_smallest_fraction_k32,cluster_smallest_to_equal_size_ratio_k32,cluster_best_k,cluster_best_silhouette,cluster_best_smallest_size,cluster_best_largest_size,cluster_best_singleton_count,cluster_best_smallest_fraction,cluster_best_smallest_to_equal_size_ratio,correction_bias_min,correction_bias_p01,correction_bias_p05,correction_bias_median,correction_bias_mean,correction_bias_p95,correction_bias_p99,correction_bias_max,correction_bias_std,correction_bias_l2,correction_bias_negative_count,correction_bias_positive_count,correction_bias_unique_count,bias_router_norm_spearman,bias_centroid_projection_spearman,bias_neighbor_mean_spearman,bias_pair_geometry_spearman,bias_neighbor_difference_ratio,bias_variance_explained_by_router_pc8,bias_variance_explained_by_router_pc32
1,2.601858615875244,2.9133233428001404,3.2904205918312073,5.036394119262695,4.949633336492947,6.278746843338013,6.656565976142883,7.0232062339782715,0.894586689948653,0.1807379717105491,-0.09769502282142639,-0.02902890047058463,-0.01461077225394547,0.014308663550764322,0.015964548982230826,0.04971546474844216,0.08767260514199708,0.7150890827178955,0.022884626649065553,0.08147845417261124,0.09847847409546376,0.1137523204088211,0.19264265149831772,0.21306241086650907,0.4029507637023926,0.49968528747558594,0.7150890827178955,0.0892067855719785,0.130624664015843,737.7263005778035,618.3487170113631,0.006241180332152656,0.035583476902817254,0.06224353804664759,0.10987914561592964,97,6,1,0,0.005335493405399739,2,19,877,0,0.021205357142857144,0.04241071428571429,0.0020592448647031186,4,19,826,0,0.021205357142857144,0.08482142857142858,0.0015063058434160463,8,11,681,0,0.012276785714285714,0.09821428571428571,0.002572916794509217,16,9,515,0,0.010044642857142858,0.16071428571428573,0.006953940765615436,32,5,282,0,0.005580357142857143,0.17857142857142858,32,0.006953940765615436,5,282,0,0.005580357142857143,0.17857142857142858,-0.08442370593547821,-0.06806424744427204,-0.042373815551400185,0.0049283422995358706,6.286563802859746e-07,0.023049718234688044,0.02667994331568478,0.028605474159121513,0.020338076157249058,0.6087849033831664,352,544,896,0.452230132631517,-0.2682283756442731,0.5451276657807534,0.004444846182946871,0.7824773479948378,0.4307497274874756,0.4968385954048266
2,2.5144076347351074,2.8800240755081177,3.235327184200287,4.78235387802124,4.731144933562193,6.105600595474243,6.462102627754211,6.863056182861328,0.8810159574771441,0.18621622669542823,-0.18218247592449188,-0.043768236115574836,-0.01864645481109619,0.015366845298558474,0.017286023553517584,0.059365555644035325,0.09940927147865261,0.5355132818222046,0.025983648608397216,0.08522991836071014,0.0958439439535141,0.11544855870306492,0.18439829349517822,0.19557910997121195,0.3165445327758789,0.40106186270713806,0.5355132818222046,0.06401847069346188,0.13558319427398863,704.3694365609247,570.4464795544078,0.007228435044233894,0.039829086691337424,0.07042680544255642,0.12420034757822994,35,1,0,0,0.008463774178869024,2,97,799,0,0.10825892857142858,0.21651785714285715,0.004964660230781531,4,26,773,0,0.029017857142857144,0.11607142857142858,0.0011643294680071697,8,5,720,0,0.005580357142857143,0.044642857142857144,0.0017648497161514534,16,5,605,0,0.005580357142857143,0.08928571428571429,0.0062523012337036,32,3,269,0,0.0033482142857142855,0.10714285714285714,2,0.008463774178869024,97,799,0,0.10825892857142858,0.21651785714285715,-0.08251580595970154,-0.05759591609239578,-0.03966611437499523,0.0010835853172466159,5.114306012338992e-07,0.03748520649969578,0.039684485830366614,0.040483906865119934,0.023505175044552008,0.7035864948294461,426,470,895,0.09314020970548696,-0.010953193985576731,0.6427560086676425,0.061807701000545515,0.7253719664053269,0.607278036825323,0.6487038645105662
3,2.0058422088623047,2.1949243783950805,2.3936339616775513,3.523634195327759,3.6236367962722267,5.044958591461182,5.663029670715331,6.640915393829346,0.8052985285185066,0.22223489102079652,-0.07554791867733002,-0.001654818981187418,0.012301636161282659,0.04708818159997463,0.05204055806138141,0.10746343322098253,0.15546732679009423,0.5458751916885376,0.031264343706028506,0.09966258704662323,0.11737772151827813,0.13651469722390175,0.22727522999048233,0.23830501343556015,0.36815863102674484,0.45816823840141296,0.5458751916885376,0.0750981906260749,0.23043122290445367,742.5982516272428,608.9643228310548,0.009056563838876205,0.04363392626063244,0.0711858587872908,0.11633067193493542,108,3,0,0,0.03909099191653894,2,1,895,1,0.0011160714285714285,0.002232142857142857,0.016367640470118613,4,1,891,2,0.0011160714285714285,0.004464285714285714,0.0064237129864374186,8,1,878,3,0.0011160714285714285,0.008928571428571428,0.006471800639454481,16,1,792,3,0.0011160714285714285,0.017857142857142856,0.0070432115346775095,32,1,672,3,0.0011160714285714285,0.03571428571428571,2,0.03909099191653894,1,895,1,0.0011160714285714285,0.002232142857142857,-0.14559821784496307,-0.09121949560940265,-0.06177034508436918,0.004293720470741391,1.385969133999814e-06,0.05133615527302027,0.055840789154171934,0.0601145438849926,0.035458777605789145,1.061396778048191,409,487,896,-0.4529109401650086,0.6276274232811152,0.7587269264414523,0.09493725522269315,0.6619328909208918,0.6391875548660547,0.6949558480998029
4,1.8954360485076904,2.02313312292099,2.2000743746757507,3.209843873977661,3.2456804046939527,4.385094523429871,5.2696659564971915,6.0558319091796875,0.6763222056278582,0.20837609416187455,-0.10002197325229645,0.0009622115222737194,0.013387790974229574,0.04577326402068138,0.04983103789901773,0.09918110705912113,0.1409723934531205,0.4802580177783966,0.027975345680443794,0.07697645574808121,0.10312679670751095,0.12235168740153313,0.20125031471252441,0.2081799950849797,0.32052311301231384,0.39679384231567383,0.4802580177783966,0.06107064090860775,0.22559143234294185,767.5307996650083,651.2957650311515,0.007708858766614108,0.03946893724927657,0.06292031457354508,0.10307975030270773,40,0,0,0,0.02496357350491952,2,2,894,0,0.002232142857142857,0.004464285714285714,0.016275210382459025,4,2,883,0,0.002232142857142857,0.008928571428571428,0.009068559274973532,8,2,870,0,0.002232142857142857,0.017857142857142856,0.002457647251265586,16,1,832,2,0.0011160714285714285,0.017857142857142856,0.004969768218728908,32,1,661,3,0.0011160714285714285,0.03571428571428571,2,0.02496357350491952,2,894,0,0.002232142857142857,0.004464285714285714,-0.16967681050300598,-0.09245981350541115,-0.06499683111906052,0.0032137997914105654,2.062621076350167e-06,0.05265372712165117,0.059121708571910854,0.061630818992853165,0.035996806558218165,1.0775017390395194,417,479,896,-0.2862730783911255,0.5831357250958902,0.7262786703216627,0.0312928266318124,0.6976243697120733,0.5757041282309203,0.6778288092118868
5,2.177567958831787,2.3797446846961976,2.6369600892066956,3.453150153160095,3.4719115179032087,4.323753118515015,5.000314712524413,6.203787326812744,0.5208413235585025,0.15001572501854948,-0.10893691331148148,0.004384535001590848,0.01599625200033188,0.044445233419537544,0.04752119591498114,0.08866331800818442,0.12323862090706818,0.6098598837852478,0.023830070573989916,0.08259036391973495,0.10171516723930836,0.11828353069722652,0.1856326013803482,0.195166423376317,0.2969653382897377,0.3626566231250763,0.6098598837852478,0.05883664258765762,0.2204183075643297,764.5040981786308,642.2127551995022,0.007939262287541207,0.04207153904107665,0.06742274852343803,0.1090937395652781,21,1,0,0,0.022775546430184018,2,1,895,1,0.0011160714285714285,0.002232142857142857,0.013723916472149841,4,1,883,1,0.0011160714285714285,0.004464285714285714,0.006505756425933813,8,1,858,1,0.0011160714285714285,0.008928571428571428,0.0048466873969887515,16,1,704,1,0.0011160714285714285,0.017857142857142856,0.003823191906529828,32,1,419,4,0.0011160714285714285,0.03571428571428571,2,0.022775546430184018,1,895,1,0.0011160714285714285,0.002232142857142857,-0.15496554970741272,-0.07277261801064014,-0.0496034761890769,0.005645954282954335,1.5206461024977865e-06,0.032648670487105846,0.03584902714937925,0.03704821690917015,0.026246756133958864,0.785650953058426,376,520,896,-0.18320147031739206,0.42887903479808986,0.7414320680533941,0.15414579657561198,0.6673500716779662,0.5647300921680399,0.681156623753671
6,2.0917928218841553,2.4228299617767335,2.704158067703247,3.7371798753738403,3.6720749669309174,4.396414160728455,4.793916177749633,5.5662641525268555,0.5088700292841091,0.13857833346725418,-0.13303714990615845,0.0031236707186326385,0.01769431894645095,0.05245115049183369,0.05460637660909646,0.0978250339627266,0.13420285344123822,0.48077625036239624,0.025993384068417447,0.09914252907037735,0.11425369307398796,0.1307857558131218,0.19125226885080338,0.20459901662044494,0.3138456642627716,0.4083246886730194,0.48077625036239624,0.05903612884645639,0.23592690271968303,743.3180952565634,613.240514835077,0.009255458184813176,0.04040314552470673,0.06817267122521194,0.11491409139671317,39,0,0,0,0.011741243097855712,2,30,866,0,0.033482142857142856,0.06696428571428571,0.006061370388573483,4,5,849,0,0.005580357142857143,0.022321428571428572,0.004127215403715054,8,5,790,0,0.005580357142857143,0.044642857142857144,0.009450545396602462,16,5,579,0,0.005580357142857143,0.08928571428571429,0.008461674158875119,32,2,482,0,0.002232142857142857,0.07142857142857142,2,0.011741243097855712,30,866,0,0.033482142857142856,0.06696428571428571,-0.1450120508670807,-0.07810898423194884,-0.040857626125216484,0.00519347982481122,4.717285589452201e-07,0.021193070337176323,0.024203179590404026,0.02559353969991207,0.021156463886479644,0.6332819151883233,314,582,895,0.17775753816992035,0.1617890647804344,0.6168070344951967,-0.023645161872255675,0.7339770733270761,0.31841528468273966,0.5859173793209921
7,2.072922706604004,2.285556435585022,2.544156312942505,3.3697210550308228,3.304577029177121,3.8627439737319946,4.116402912139892,4.965503215789795,0.40748717675508533,0.12330993442042854,-0.07666559517383575,0.0021818914636969567,0.015036553144454956,0.0454806424677372,0.04836331385546185,0.09010378308594226,0.130647661536932,0.4714915156364441,0.025050426745299163,0.0965258926153183,0.11564591526985168,0.13235920295119286,0.20469626784324646,0.20993806899891101,0.3082083463668823,0.36883804202079773,0.4714915156364441,0.05591984780049667,0.22231825923778095,740.723285345768,599.7680884036334,0.008886470397666697,0.04679330872113939,0.0751419165086093,0.12047244676303982,32,0,0,0,0.011197142852014135,2,19,877,0,0.021205357142857144,0.04241071428571429,0.006045041893924948,4,2,727,0,0.002232142857142857,0.008928571428571428,0.006785722738019226,8,2,487,0,0.002232142857142857,0.017857142857142856,0.005170506652627939,16,2,319,0,0.002232142857142857,0.03571428571428571,0.007659550771217572,32,2,203,0,0.002232142857142857,0.07142857142857142,2,0.011197142852014135,19,877,0,0.021205357142857144,0.04241071428571429,-0.16427378356456757,-0.0708629798144102,-0.04261051304638386,0.0034344957675784826,2.3992146062872573e-06,0.029589537996798754,0.03313979096710682,0.035937968641519547,0.024171262380856894,0.7235246630440808,402,494,895,-0.07617032698517842,0.3533496629550185,0.6868490067268697,0.10166307305727086,0.7113533568846105,0.4038770031176726,0.6381928420021775
8,2.0229663848876953,2.290216314792633,2.614396572113037,3.4997215270996094,3.4210069874035463,3.9609678387641907,4.088359212875366,4.458609580993652,0.3878367363053504,0.11336917396936048,-0.08544080704450607,-0.005832203705795109,0.007180378097109497,0.03787022642791271,0.040213093352659095,0.07971793487668036,0.11775836758315553,0.4349225163459778,0.024102079016035862,0.09063788503408432,0.1025752030313015,0.11282496340572834,0.18041153252124786,0.18950768970119367,0.29622718691825867,0.36346524953842163,0.4349225163459778,0.05898437706592664,0.20318534424652027,741.1689465483933,601.9957998810529,0.008598442747869982,0.04689934473166332,0.07477931595165653,0.12016344747872938,22,0,0,0,0.011026522848288898,2,60,836,0,0.06696428571428571,0.13392857142857142,0.0041719411473356465,4,4,640,0,0.004464285714285714,0.017857142857142856,0.005726657473197886,8,4,328,0,0.004464285714285714,0.03571428571428571,0.0055242831152958905,16,4,256,0,0.004464285714285714,0.07142857142857142,0.008571040137820543,32,2,139,0,0.002232142857142857,0.07142857142857142,2,0.011026522848288898,60,836,0,0.06696428571428571,0.13392857142857142,-0.1559617817401886,-0.06658761091530323,-0.036010414361953735,0.004438057774677873,1.8232789378609077e-06,0.023041941691190004,0.025651562586426726,0.026641644537448883,0.020509572025759575,0.6139183357839482,373,523,896,0.21394160703275344,0.02896029462400606,0.7798673818287614,0.12985298631891767,0.649992778669413,0.4765636859509096,0.6403285754809513
9,2.056431531906128,2.433867371082306,2.708360493183136,3.3284482955932617,3.3237464571637765,3.896953821182251,4.103466486930846,4.4027791023254395,0.35993818496207347,0.10829291271188488,-0.10480598360300064,0.005290989298373461,0.016937727108597755,0.044547729194164276,0.047680574076834785,0.08798019029200077,0.1311761587858198,0.4790560007095337,0.02421319293650166,0.10470560193061829,0.11599700376391411,0.1394750252366066,0.21275898814201355,0.21844791971047275,0.3219732344150543,0.3937920227646828,0.4790560007095337,0.05816054300337925,0.22077914436479482,738.6435875473292,596.0874443930944,0.008723612863105176,0.04667273897082227,0.07548208725018982,0.12232531938108915,39,0,0,0,0.009119078784458593,2,8,888,0,0.008928571428571428,0.017857142857142856,0.008960627065624335,4,8,540,0,0.008928571428571428,0.03571428571428571,0.011333308341404806,8,8,302,0,0.008928571428571428,0.07142857142857142,0.010109191737454481,16,4,200,0,0.004464285714285714,0.07142857142857142,0.009475247200951525,32,1,180,1,0.0011160714285714285,0.03571428571428571,8,0.011333308341404806,8,302,0,0.008928571428571428,0.07142857142857142,-0.1357620507478714,-0.07755885571241379,-0.0516584413126111,0.006040287669748068,1.0607877811708022e-06,0.03204148542135954,0.034441164880990985,0.036441486328840256,0.02642472660592944,0.7909781886258015,373,523,895,0.12206511280145506,0.2947654320882617,0.7600770807256442,0.14517359641980473,0.6412677185079046,0.573817318852959,0.717560918386682
10,2.1733853816986084,2.4038330554962157,2.8458436131477356,3.526690125465393,3.5182548106781075,4.155784010887146,4.385698294639587,4.630407333374023,0.3936744804960581,0.11189481765255693,-0.1419089436531067,-0.005385266793891787,0.006872227997519076,0.036869317293167114,0.04009893606810825,0.08374720439314841,0.12683134123682976,0.40137672424316406,0.025494671134825824,0.09511211514472961,0.11438308730721473,0.13541744276881218,0.20226652175188065,0.20909516403584608,0.30506086349487305,0.3635351061820984,0.40137672424316406,0.051497444943878694,0.20290454461030097,726.9837005772507,569.1924143881736,0.010018344516369999,0.05208523669970201,0.08177165337534367,0.12977414185940078,29,0,0,0,0.012900826864475388,2,175,721,0,0.1953125,0.390625,0.008151167376834252,4,3,527,0,0.0033482142857142855,0.013392857142857142,0.00642556192224604,8,1,302,1,0.0011160714285714285,0.008928571428571428,0.009213317457549195,16,1,190,1,0.0011160714285714285,0.017857142857142856,0.00955932516012835,32,1,164,1,0.0011160714285714285,0.03571428571428571,2,0.012900826864475388,175,721,0,0.1953125,0.390625,-0.16496561467647552,-0.07675836458802224,-0.04880888108164072,0.0068395244888961315,1.374555040456471e-06,0.02804041374474764,0.029051779583096494,0.03024175763130188,0.025247563870616045,0.755741871956327,360,536,896,0.3263122352507827,0.0583607535893788,0.7962981653396396,0.13232365396338402,0.6301997747454857,0.5268457283357925,0.6561597146087557
