case_id,semantic_family,phase,gamma,capacity_slots,capacity_bytes,status,committee_hit_ratio,exact_hit_ratio,hit_ratio_delta,regresses,source_evidence_class,post_hoc_exploratory
01-math-b1,mathematical reasoning,DECODE,0.5,3916,68715085824,INFEASIBLE_CORE_EXCEEDS_CAPACITY,,0.46065090013586957,,False,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.5,5874,103072628736,INFEASIBLE_CORE_EXCEEDS_CAPACITY,,0.5456436820652174,,False,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.5,7832,137430171648,INFEASIBLE_CORE_EXCEEDS_CAPACITY,,0.5977305536684783,,False,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.5,7849,137728475136,INFEASIBLE_CORE_EXCEEDS_CAPACITY,,0.5981020720108695,,False,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.5,9790,171787714560,INFEASIBLE_CORE_EXCEEDS_CAPACITY,,0.6291928498641305,,False,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.5,11748,206145257472,INFEASIBLE_CORE_EXCEEDS_CAPACITY,,0.6551885190217391,,False,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.5,15665,274877890560,INFEASIBLE_CORE_EXCEEDS_CAPACITY,,0.7012992527173914,,False,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.5,19581,343592976384,INFEASIBLE_CORE_EXCEEDS_CAPACITY,,0.740828804347826,,False,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.5,23497,412308062208,pass,0.5935483186141305,0.7757196841032609,-0.18217136548913038,True,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.5,27413,481023148032,pass,0.7927458389945652,0.810196586277174,-0.01745074728260876,True,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.5,31330,549755781120,pass,0.8302055027173914,0.8531122622282609,-0.022906759510869512,True,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.5,39162,687185952768,pass,0.8843304177989131,0.8923233695652174,-0.007992951766304324,True,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.5,46995,824633671680,pass,0.9210788892663043,0.9259404721467391,-0.004861582880434812,True,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.5,54827,962063843328,pass,0.9384234884510869,0.9423828125,-0.003959324048913082,True,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.5,62660,1099511562240,pass,0.9432107676630435,0.9432107676630435,0.0,False,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.5,70492,1236941733888,pass,0.9432107676630435,0.9432107676630435,0.0,False,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.5,78325,1374389452800,pass,0.9432107676630435,0.9432107676630435,0.0,False,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.5,82432,1446456066048,pass,0.9432107676630435,0.9432107676630435,0.0,False,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.75,3916,68715085824,INFEASIBLE_CORE_EXCEEDS_CAPACITY,,0.46065090013586957,,False,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.75,5874,103072628736,INFEASIBLE_CORE_EXCEEDS_CAPACITY,,0.5456436820652174,,False,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.75,7832,137430171648,pass,0.3202063519021739,0.5977305536684783,-0.2775242017663044,True,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.75,7849,137728475136,pass,0.3202063519021739,0.5981020720108695,-0.2778957201086956,True,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.75,9790,171787714560,pass,0.5472783627717391,0.6291928498641305,-0.08191448709239135,True,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.75,11748,206145257472,pass,0.6365064538043478,0.6551885190217391,-0.018682065217391353,True,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.75,15665,274877890560,pass,0.7085597826086957,0.7012992527173914,0.007260529891304324,False,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.75,19581,343592976384,pass,0.7488217561141305,0.740828804347826,0.007992951766304435,False,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.75,23497,412308062208,pass,0.7808572520380435,0.7757196841032609,0.005137567934782594,False,FIXED_ROUTE_COUNTERFACTUAL,True
01-math-b1,mathematical reasoning,DECODE,0.75,27413,481023148032,pass,0.8129245923913043,0.810196586277174,0.002728006114130377,False,FIXED_ROUTE_COUNTERFACTUAL,True
