case_id,semantic_family,length_level,selection_role,prompt_tokens,phase,selected_occurrences,distinct_expert_keys,mean_layer_entropy_bits,mean_layer_effective_experts,median_layer_distinct_experts,top16_selected_mass_fraction,mean_layer_mass50_experts,mean_layer_mass90_experts,cold_first_occurrences,finite_stack_distance_median,finite_stack_distance_mean,finite_stack_distance_p90,core_mass_gamma_0_8,core_mass_gamma_1_0,source_sha256,derivation_id,analysis_code_version,source_evidence_class,derived_evidence_class,protocol,authority_scope
01-math-b1,mathematical reasoning,1,STAGE_B_REPRESENTATIVE,178,DECODE,94208,29305,7.5621428567976,201.81731188816735,324.0,0.28360648777173914,53.04347826086956,218.95652173913044,5350,4122.0,10696.18060275946,30348.300000000003,0.3253333050271739,0.13823666779891305,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566"",""e1fab368ce78869f1276ce7b0835b3017d4d4c87877bb6ebccb9a9611eb5a023""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
01-math-b1,mathematical reasoning,1,STAGE_B_REPRESENTATIVE,178,PREFILL,262016,51095,8.24369454714262,315.96409716593155,564.5,0.22424203102100634,79.51086956521739,336.1847826086956,51095,3259.0,7431.597849431778,21383.0,0.8564515144113337,0.7854978321934538,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566"",""e1fab368ce78869f1276ce7b0835b3017d4d4c87877bb6ebccb9a9611eb5a023""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
01-math-b8,mathematical reasoning,8,STAGE_B2_ENDPOINT,403,DECODE,94208,28313,7.4820898465206405,190.13282515814,307.5,0.2950386379076087,48.25,208.05434782608697,2244,4596.0,12988.388249749902,41762.399999999994,0.28959324048913043,0.12338654891304347,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""5446636d4a2659d92e71f1d319bf7701196a4e31553247857eaa54bb5b4ab064"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
01-math-b8,mathematical reasoning,8,STAGE_B2_ENDPOINT,403,PREFILL,593216,63217,8.385060092068711,351.5659761724409,707.5,0.2239673238752832,86.67391304347827,376.6195652173913,63217,4249.0,9682.023875516747,27487.0,0.8138603813787895,0.6928285818319129,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""5446636d4a2659d92e71f1d319bf7701196a4e31553247857eaa54bb5b4ab064"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
02-formal-b1,formal logic / proof-style reasoning,1,STAGE_B2_ENDPOINT,184,DECODE,94208,27030,7.364866792188795,181.47202573425403,302.5,0.31558890964673914,47.20652173913044,196.29347826086956,5653,4104.0,10550.128586753995,33773.20000000001,0.221435546875,0.08512015964673914,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""860bdf5e13fbab90294309b9652b3240b2c40217c72f6a8e84be6fcec61d5261"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
02-formal-b1,formal logic / proof-style reasoning,1,STAGE_B2_ENDPOINT,184,PREFILL,270848,50893,8.21922538596575,312.190239719132,567.5,0.22605298913043478,78.1195652173913,329.60869565217394,50893,3268.0,7446.354599804506,20863.600000000006,0.8685129666824196,0.7816155186672968,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""860bdf5e13fbab90294309b9652b3240b2c40217c72f6a8e84be6fcec61d5261"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
02-formal-b3,formal logic / proof-style reasoning,3,STAGE_B_REPRESENTATIVE,237,DECODE,94208,28252,7.437161554553044,189.3733755060339,311.5,0.31057871942934784,49.358695652173914,208.44565217391303,4596,4117.0,11304.276849082713,35258.90000000001,0.27516771399456524,0.10363238790760869,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""48e746b49a9d1ccda8fd60a91872eeaf03ac38d83ff900ea16a3c5f5a3811e54"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
02-formal-b3,formal logic / proof-style reasoning,3,STAGE_B_REPRESENTATIVE,237,PREFILL,348864,53859,8.201390769348482,309.4014209184102,602.5,0.23981838194826638,75.97826086956522,332.4021739130435,53859,3374.0,8004.325862273521,22795.0,0.864282356448358,0.7590952348192992,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""48e746b49a9d1ccda8fd60a91872eeaf03ac38d83ff900ea16a3c5f5a3811e54"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
02-formal-b8,formal logic / proof-style reasoning,8,STAGE_B2_ENDPOINT,374,DECODE,94208,27238,7.363956524917118,175.2094255482302,297.5,0.32222316576086957,43.92391304347826,196.41304347826087,2191,4725.0,11890.44927567732,35940.40000000005,0.38078507133152173,0.1597847316576087,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""9b7bdd806e6013ffa2ce2a19cb29145226c29953a545d110cab39be50de1eafc"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
02-formal-b8,formal logic / proof-style reasoning,8,STAGE_B2_ENDPOINT,374,PREFILL,550528,60528,8.285976077389728,329.0506388774634,682.0,0.23775720762613345,80.65217391304348,355.70652173913044,60528,4109.0,9346.249006122449,26398.0,0.8374887380841665,0.7120800395256917,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""9b7bdd806e6013ffa2ce2a19cb29145226c29953a545d110cab39be50de1eafc"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
